year,district,neighborhood,type_of_propulsion,number
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Diesel,2456.0
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Electric,85.0
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Gasoline,5092.0
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Others,34.0
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Unknown,90.0
2016,Ciutat Vella,el Gòtic,Diesel,5042.0
2016,Ciutat Vella,el Gòtic,Electric,137.0
2016,Ciutat Vella,el Gòtic,Gasoline,6990.0
2016,Ciutat Vella,el Gòtic,Others,129.0
2016,Ciutat Vella,el Gòtic,Unknown,144.0
2016,Ciutat Vella,el Raval,Diesel,3810.0
2016,Ciutat Vella,el Raval,Electric,28.0
2016,Ciutat Vella,el Raval,Gasoline,7074.0
2016,Ciutat Vella,el Raval,Others,127.0
2016,Ciutat Vella,el Raval,Unknown,209.0
2016,Ciutat Vella,la Barceloneta,Diesel,2178.0
2016,Ciutat Vella,la Barceloneta,Electric,27.0
2016,Ciutat Vella,la Barceloneta,Gasoline,3833.0
2016,Ciutat Vella,la Barceloneta,Others,19.0
2016,Ciutat Vella,la Barceloneta,Unknown,273.0
2016,Eixample,Sant Antoni,Diesel,5643.0
2016,Eixample,Sant Antoni,Electric,38.0
2016,Eixample,Sant Antoni,Gasoline,10872.0
2016,Eixample,Sant Antoni,Others,134.0
2016,Eixample,Sant Antoni,Unknown,136.0
2016,Eixample,el Fort Pienc,Diesel,5511.0
2016,Eixample,el Fort Pienc,Electric,12.0
2016,Eixample,el Fort Pienc,Gasoline,9473.0
2016,Eixample,el Fort Pienc,Others,76.0
2016,Eixample,el Fort Pienc,Unknown,162.0
2016,Eixample,l'Antiga Esquerra de l'Eixample,Diesel,7252.0
2016,Eixample,l'Antiga Esquerra de l'Eixample,Electric,38.0
2016,Eixample,l'Antiga Esquerra de l'Eixample,Gasoline,15275.0
2016,Eixample,l'Antiga Esquerra de l'Eixample,Others,68.0
2016,Eixample,l'Antiga Esquerra de l'Eixample,Unknown,236.0
2016,Eixample,la Dreta de l'Eixample,Diesel,11373.0
2016,Eixample,la Dreta de l'Eixample,Electric,85.0
2016,Eixample,la Dreta de l'Eixample,Gasoline,18545.0
2016,Eixample,la Dreta de l'Eixample,Others,311.0
2016,Eixample,la Dreta de l'Eixample,Unknown,405.0
2016,Eixample,la Nova Esquerra de l'Eixample,Diesel,10228.0
2016,Eixample,la Nova Esquerra de l'Eixample,Electric,34.0
2016,Eixample,la Nova Esquerra de l'Eixample,Gasoline,19737.0
2016,Eixample,la Nova Esquerra de l'Eixample,Others,128.0
2016,Eixample,la Nova Esquerra de l'Eixample,Unknown,487.0
2016,Eixample,la Sagrada Família,Diesel,7974.0
2016,Eixample,la Sagrada Família,Electric,25.0
2016,Eixample,la Sagrada Família,Gasoline,14972.0
2016,Eixample,la Sagrada Família,Others,182.0
2016,Eixample,la Sagrada Família,Unknown,196.0
2016,Gràcia,Vallcarca i els Penitents,Diesel,2760.0
2016,Gràcia,Vallcarca i els Penitents,Electric,7.0
2016,Gràcia,Vallcarca i els Penitents,Gasoline,6138.0
2016,Gràcia,Vallcarca i els Penitents,Others,37.0
2016,Gràcia,Vallcarca i els Penitents,Unknown,76.0
2016,Gràcia,Vila de Gràcia,Diesel,6807.0
2016,Gràcia,Vila de Gràcia,Electric,41.0
2016,Gràcia,Vila de Gràcia,Gasoline,15415.0
2016,Gràcia,Vila de Gràcia,Others,124.0
2016,Gràcia,Vila de Gràcia,Unknown,182.0
